panel	participant	line	also_matches	pm	label
run 69	P-4	Tx parser		8.0	Tx pipeline: inbound-email parser, MIME and attachment handling, number extraction, sender identification, archive handoff
run 69	P-4	NOC		8.0	NOC: remote PoP, cluster and queue state
run 69	P-4	portal		10.0	User portal
run 69	P-4	data layer / API		6.0	Storage and data layer: Lustre layout, DB schema, inter-component API
run 69	P-4	CDR		3.0	CDR / billing data capture (billing itself excluded)
run 69	P-4	old-system / reused integration		6.0	Integration with the old system and coexistence through the transition
run 69	P-4	QA, separate line	real-stream / load testing;worker framework	14.0	QA beyond in-block testing: real-stream comparison harness, load testing to ~300/s, regression
run 69	P-4	rollout / cutover		5.0	Rollout, cutover, production hardening
run 69	P-4	PM		12.0	PM and coordination across the whole period
run 69	P-4	discount / rounding		1.0	Rounding to the round-1 point estimate (134 table → 135 reported)
run 69	P-4	discount / rounding	PM	-7.0	De-duplication of QA and PM against whole-team block sizes (the P-9 catch), net of the retained part of P-8's decomposition-glue uplift
run 69	P-5	render workers		9.0	Rendering worker framework + 8–10 formats
run 69	P-5	OCR		3.0	OCR workers
run 69	P-5	delivery-control core		18.0	Cluster orchestration: watchdogs, tokens, unordered status store, resume
run 69	P-5	cluster management		3.0	Cluster management tool (queues, node state)
run 69	P-5	NOC		8.0	NOC
run 69	P-5	portal		10.0	User portal
run 69	P-5	Tx parser		5.0	Inbound email parser (Tx intake)
run 69	P-5	Rx path		6.0	Rx path: PoP→DC transfer, page-wise TIFF, email composition and send
run 69	P-5	CDR		3.0	CDR capture / billing data
run 69	P-5	data layer / API		6.0	Storage (Lustre) + DB schema + inter-component API
run 69	P-5	old-system / reused integration		4.0	Integration with old system + transition coexistence
run 69	P-5	real-stream / load testing	old-system / reused integration	8.0	Integration tests on real stream, comparison against old system, rollout
run 69	P-5	QA, separate line		29.0	QA uplift, +35% of the dev subtotal
run 69	P-5	PM		8.0	PM / coordination uplift, +10% of the dev subtotal
run 69	P-5	immersion		10.0	Domain immersion, architecture and technology selection (~1.5 months, whole team)
run 69	P-5	discount / rounding		-5.0	Adjustment for v1 as an executable specification (removes specification churn, A3)
run 69	P-5	discount / rounding	delivery-control core	0.0	Round-2 net revision: orchestrator line up (P-7) offset by QA-uplift double-counting down (P-9)
run 69	P-6	immersion		12.0	Domain immersion, architecture and technology selection (DHT etc.), 1–2 calendar months of the whole team
run 69	P-6	render workers	worker framework	12.0	Rendering workers: worker host plus 8–10 format integrations, each with its own stabilization
run 69	P-6	OCR		6.0	OCR workers and TIFF→PDF: library integration, output quality, throughput
run 69	P-6	delivery-control core		24.0	Cluster with delivery control: watchdogs + tokens, unordered store, per-fax state, resume, distribution, failure survival
run 69	P-6	cluster management		4.0	Cluster management: queue depths, node control
run 69	P-6	NOC		9.0	NOC: remote PoP state, cluster and queue state, agents, alerting, UI
run 69	P-6	portal		11.0	User portal: accounts, per-user delivery configuration, history and archive access
run 69	P-6	Tx parser		6.0	Inbound email parser for Tx: MIME, number extraction, sender authorization, error/confirmation mail
run 69	P-6	Rx path		4.0	Outbound email delivery for Rx at volume, attachment assembly, deliverability
run 69	P-6	CDR		3.0	CDR / billing-data capture (feed only)
run 69	P-6	data layer / API	old-system / reused integration	10.0	Integration surfaces: PoP software, ready routing, Lustre, DB/API contracts, coexistence with the old system
run 69	P-6	real-stream / load testing		12.0	Integration tests on the real stream with comparison against the old system, plus burst/load harness
run 69	P-6	rollout / cutover		5.0	Rollout, migration and production cutover to the A2 definition of done
run 69	P-6	PM		11.8	PM / coordination uplift, 10% of the subtotal, not already inside the blocks
run 69	P-6	discount / rounding		-4.8	Downward adjustment for double-count risk between the block-level stabilization allowances and lines 12 and 14 (P-8's caution)
run 69	P-7	immersion		8.0	Immersion + architecture/tech selection
run 69	P-7	render workers		11.0	Render workers + format integrations (framework ~3; 8–10 formats × ~0.8)
run 69	P-7	OCR		4.0	OCR workers
run 69	P-7	delivery-control core	cluster management	23.0	Cluster + watchdogs/tokens + cluster management tool
run 69	P-7	NOC		8.0	NOC
run 69	P-7	portal		10.0	User portal
run 69	P-7	Tx parser		5.0	Inbound-email parser (Tx)
run 69	P-7	Rx path		5.0	Rx path: PoP→DC transfer, TIFF-vs-PDF branching, email composition and outbound deliverability
run 69	P-7	CDR		3.0	CDR + billing-data capture
run 69	P-7	data layer / API	old-system / reused integration	6.0	Integration: PoP, routing, Lustre, DB, old-system coexistence
run 69	P-7	QA, separate line	real-stream / load testing;worker framework	22.5	QA incl. real-stream comparison harness — 30% of delivery lines excl. immersion (75 × 0.30)
run 69	P-7	PM		10.6	PM / lead / coordination — 10% of (83 + 22.5)
run 69	P-7	old-system / reused integration	rollout / cutover	8.0	Rollout, migration, transition coexistence, stabilization to A2
run 69	P-7	glue / omissions		3.9	Trimmed allowance for unlisted glue (deployment scripting, security, v1 support during transition)
run 69	P-8	immersion		9.0	Domain immersion + architecture/technology selection (DHT etc.), ~1.5 calendar months across most of the team
run 69	P-8	render workers		12.0	Rendering workers: driver-based render framework (3) + 8–10 formats × ~1 each
run 69	P-8	OCR		4.0	OCR workers on a third-party library: integration, searchable-PDF assembly, throughput tuning
run 69	P-8	delivery-control core		18.0	Cluster core: watchdogs + tokens, unordered status store, per-fax state machine, idempotency, retry, recovery, back-pressure
run 69	P-8	cluster management		4.0	Cluster management tool (queue depths, node lifecycle, deployment/agents)
run 69	P-8	NOC		6.0	NOC: telemetry from 10–20 remote PoPs + cluster + queues, alerting, operator UI
run 69	P-8	portal		8.0	User portal: accounts, per-user delivery configuration, fax history/search/retrieval, admin
run 69	P-8	Tx parser		5.0	Inbound e-mail parser / Tx entry: SMTP ingest, MIME and attachment extraction, sender authentication, number extraction, bounce and error paths
run 69	P-8	CDR		3.0	CDR capture and billing-data hand-off
run 69	P-8	data layer / API	old-system / reused integration	6.0	Integration surfaces: PoP protocol, ready least-cost routing, Lustre, DB schema and the inter-component API
run 69	P-8	real-stream / load testing	worker framework	10.0	Integration tests on the real stream: shadow harness, load generation, result comparison against the old system
run 69	P-8	old-system / reused integration	rollout / cutover	5.0	Rollout, coexistence with v1 during transition, production hardening
run 69	P-8	Rx path		5.0	Rx delivery path: PoP intake, per-user TIFF-per-page vs PDF assembly, outbound email composition and deliverability
run 69	P-8	QA, separate line	PM	19.0	QA/PM uplift, +25% applied to lines 2–10 and 12–13 only (76 pm × 0.25)
run 69	P-8	glue / omissions		13.7	Glue / cross-component-defect factor, ×1.12 (114 × 0.12)
run 69	P-8	discount / rounding		-2.7	Rounding down, carried figure
run 69	P-9	immersion		12.0	Domain immersion + architecture/technology selection (~1.5 mo, partial team)
run 69	P-9	render workers		14.0	Rendering workers: framework + 8–10 formats, each integrated and stabilized
run 69	P-9	OCR		5.0	OCR workers on third-party library (TIFF→searchable PDF, tuning, throughput)
run 69	P-9	delivery-control core		22.0	Cluster + delivery control: watchdogs, tokens, state store, resume, distribution
run 69	P-9	cluster management		5.0	Cluster management tool (queues, node health, dispatch)
run 69	P-9	NOC		10.0	NOC: state of remote PoPs, cluster, queues
run 69	P-9	portal		12.0	User portal (accounts, configuration, fax history)
run 69	P-9	Tx parser		7.0	Inbound-email parser / Tx intake (MIME, number extraction, attachments, error paths)
run 69	P-9	CDR		4.0	CDR and billing-data capture (billing itself excluded)
run 69	P-9	data layer / API	old-system / reused integration	8.0	DB/API plumbing + integration and coexistence with the old system
run 69	P-9	real-stream / load testing		12.0	Integration tests on the real stream with old-system comparison; load/burst testing
run 69	P-9	rollout / cutover		8.0	Rollout to prod, cutover, stabilization to the A2 bar
run 69	P-9	PM		12.0	PM / coordination uplift, ~10% of the subtotal
run 69	P-9	discount / rounding		-6.0	Judgement cut carried to the point estimate
run 69	P-10	immersion		12.0	Domain immersion, architecture and technology selection (§6, A1)
run 69	P-10	render workers	worker framework	12.0	Rendering workers, 8–10 formats (harness + per-format integration and stabilisation)
run 69	P-10	OCR		5.0	OCR workers and PDF assembly
run 69	P-10	delivery-control core		22.0	Cluster + delivery control (watchdogs, tokens, unordered status store)
run 69	P-10	cluster management		5.0	Cluster management tool (queues, node state, job placement, deployment)
run 69	P-10	NOC		8.0	NOC
run 69	P-10	portal		10.0	User portal
run 69	P-10	Tx parser		5.0	Inbound email parser, Tx path
run 69	P-10	CDR		3.0	CDR and billing-data capture
run 69	P-10	data layer / API		6.0	Database schema and inter-component API, Lustre/archive integration
run 69	P-10	real-stream / load testing		12.0	Integration tests on the live stream, comparison to v1, load work to burst, cutover and coexistence
run 69	P-10	PM		12.0	PM, QA leadership, release engineering, cross-cutting coordination
run 69	P-10	glue / omissions		8.0	Integration drag across twelve interlocking from-scratch components, the under-count a component table carries by construction (round 1 recorded this only as "I round 112 up to 120")
run 69	P-10	Rx path		5.0	Rx delivery path — data-centre intake from the PoPs, the per-user TIFF-page-by-page vs PDF branch, email composition and outbound deliverability at volume (the component missing from lines 1–12; added after P-3, P-4, P-5, P-6)
run 69	P-10	QA, separate line		5.0	Uplift to the cross-cutting QA allocation in line 12, which at ~12% for all non-delivery roles was too thin against the A2 reconciliation bar (added after P-1, with P-3, P-5, P-7, P-8)
run 70	P-1	immersion		10.0	Domain immersion, architecture, technology selection
run 70	P-1	Rx path		4.0	Rx path: PoP intake, per-page TIFF assembly, outbound email with retries and deliverability
run 70	P-1	render workers	worker framework	12.0	Render workers: harness + 8–10 format integrations
run 70	P-1	OCR		4.0	OCR workers on the third-party library
run 70	P-1	delivery-control core		23.0	Delivery-control core: watchdogs, tokens, unordered status store, resume, per-fax accounting
run 70	P-1	cluster management		5.0	Cluster management tool: queue depth, node lifecycle, deployment across 16–20 nodes
run 70	P-1	NOC		10.0	NOC: collectors over 10–20 PoPs, cluster and queue state, alerting, console
run 70	P-1	portal		12.0	User portal: accounts, per-user TIFF/PDF config, archive and history, admin
run 70	P-1	Tx parser		6.0	Inbound email parser, Tx entry: MIME, attachments, number extraction, bounces, abuse
run 70	P-1	CDR		3.0	CDR and billing-data capture
run 70	P-1	data layer / API		6.0	Data layer: DB schema, inter-component API fabric, Lustre integration
run 70	P-1	old-system / reused integration		5.0	Integration with the fixed external pieces: PoP protocol, routing hand-off, coexistence with v1
run 70	P-1	real-stream / load testing		10.0	Integration and load testing on the real stream, diff against v1, burst rig
run 70	P-1	QA, separate line	worker framework	8.0	Dedicated QA beyond the embedded share and the harness: test design, regression, defect cycles
run 70	P-1	novelty tax		4.0	Uplift: domain-novelty rework tax through integration and stabilisation (A3)
run 70	P-1	PM		12.0	PM / scrum master across the run, derived from duration not from a percentage
run 70	P-1	rollout / cutover		5.0	Production rollout, migration, cutover, decommissioning of v1
run 70	P-2	immersion		10.0	Domain immersion, architecture and technology selection (DHT etc.), ~1.5 calendar months with a largely assembled team
run 70	P-2	render workers	worker framework	13.0	Render workers: harness plus 8–10 format integrations, each its own stabilization job (A7)
run 70	P-2	OCR		4.0	OCR workers on the third-party library: integration, PDF assembly, throughput tuning
run 70	P-2	Rx path		4.0	Rx path: intake from the PoPs, per-page TIFF branch, outbound email with retries and deliverability (PDF assembly removed — it is in the OCR line)
run 70	P-2	delivery-control core		24.0	Delivery-control core: watchdogs, tokens, unordered status store, per-fax resume and idempotency, burst behaviour; per-artifact correctness, MSMQ excluded by A5
run 70	P-2	cluster management		5.0	Cluster management tool: queue depth, node lifecycle, deployment across 16–20 nodes
run 70	P-2	NOC		8.0	NOC: collectors on 10–20 remote PoPs plus cluster and queue state, alerting, operator console
run 70	P-2	portal		11.0	User portal: accounts, per-user TIFF/PDF configuration, archive and search, admin, enterprise access control
run 70	P-2	Tx parser		5.0	Inbound email parser (Tx): MIME, attachments, number extraction, sender auth, bounces, abuse
run 70	P-2	CDR		3.0	CDR and billing-data capture (billing engine excluded)
run 70	P-2	data layer / API		6.0	Data layer: Lustre integration, DB schema, the inter-component API everything talks through
run 70	P-2	old-system / reused integration		5.0	Integration with the fixed external pieces: PoP protocol, reused least-cost routing, coexistence with v1 through the transition
run 70	P-2	real-stream / load testing		11.0	Integration and load testing on the real stream, diff against the old system, burst rig to ~300/s
run 70	P-2	rollout / cutover		5.0	Production rollout, traffic migration, stabilization to the A2 bar
run 70	P-2	QA, separate line	worker framework	6.0	Named uplift: dedicated QA outside the blocks and the harness — regression suites, defect cycles, test data across the run
run 70	P-2	PM		12.0	PM, tech lead and release coordination not already inside the blocks
run 70	P-3	immersion		12.0	Domain immersion + architecture/technology selection (DHT and alternatives, A1/A3)
run 70	P-3	render workers		15.0	Render worker framework + 8–10 format integrations (A7, each its own stabilization)
run 70	P-3	OCR		5.0	OCR workers on the third-party library (TIFF→PDF, throughput tuning)
run 70	P-3	delivery-control core	cluster management	28.0	Delivery-control core + cluster runtime: watchdogs, tokens, unordered status store, per-fax resume, idempotency, burst behaviour
run 70	P-3	cluster management		6.0	Cluster management tool (queue depth, node lifecycle, deployment across 16–20 nodes)
run 70	P-3	Rx path		4.0	Rx path: intake from PoP, page-wise TIFF vs converted PDF, outbound email with retries
run 70	P-3	Tx parser		6.0	Tx path: inbound-email parser, MIME/attachments, number extraction, sender auth, NDRs
run 70	P-3	NOC		10.0	NOC: agents and console over 10–20 remote PoPs, cluster, queues, alerting
run 70	P-3	portal		12.0	User portal: accounts, per-user TIFF/PDF configuration, archive, history, admin
run 70	P-3	CDR		3.0	CDR / billing-data capture (billing engine excluded)
run 70	P-3	data layer / API		7.0	DB schema + inter-component API + Lustre integration
run 70	P-3	real-stream / load testing		13.0	Integration and load testing on the real stream, shadow comparison against v1, harness to 30/s nominal and 300/s burst
run 70	P-3	rollout / cutover		5.0	Rollout, traffic migration, cutover and stabilization to the A2 bar
run 70	P-3	PM		10.0	PM, release engineering, coordination with the PoP and routing owners
run 70	P-3	novelty tax		4.0	Uplift — domain-novelty rework tax spread through integration and stabilization (A3: the team pays for the unfamiliar domain twice, once in immersion and again in defects)
run 70	P-3	discount / rounding		-6.0	Discount — v1 as a live requirements oracle: −15% on the specification-sensitive lines only (immersion, portal, NOC, Tx parser, CDR ≈ 43 pm). Not applied to the build lines, since A4 carries no code over
run 70	P-4	immersion		12.0	Domain immersion, architecture and technology selection (DHT etc.)
run 70	P-4	render workers	worker framework	12.0	Worker harness (sandboxing, timeouts, recycling) + 8–10 format integrations
run 70	P-4	OCR		5.0	OCR workers on the third-party library, PDF assembly, quality/throughput tuning
run 70	P-4	delivery-control core		24.0	Cluster core: watchdogs, tokens, unordered status store, per-fax delivery control, failure survival, burst behaviour
run 70	P-4	cluster management		6.0	Cluster management tool (queue depths, node lifecycle, deployment to 16–20 nodes)
run 70	P-4	NOC		9.0	NOC: collectors from 10–20 remote PoPs, cluster and queue state, UI, alerting
run 70	P-4	portal		11.0	User portal (per-user TIFF-vs-PDF config, history, admin)
run 70	P-4	Tx parser		5.0	Inbound email parser, Tx path (MIME, number extraction, sender auth, bounces, abuse)
run 70	P-4	Rx path		3.0	Outbound email for Rx (page-wise TIFF or PDF, retries, deliverability)
run 70	P-4	data layer / API		7.0	Data layer: DB schema, inter-component API fabric, Lustre integration
run 70	P-4	old-system / reused integration		5.0	Integration with the reused pieces (PoP protocol, routing hand-off) and coexistence with v1
run 70	P-4	CDR		3.0	CDR / billing-data capture (billing engine excluded)
run 70	P-4	real-stream / load testing	old-system / reused integration	13.0	Integration tests on the real stream, diff against the old system, load work to nominal and burst
run 70	P-4	rollout / cutover		6.0	Rollout, migration, cutover, stabilisation to the A2 bar
run 70	P-4	QA, separate line	real-stream / load testing	8.0	Cross-cutting QA outside the blocks and the real-stream rig: regression suites, defect backlog and release acceptance across the run (~6.5%)
run 70	P-4	PM		12.0	PM, coordination and release management — derived from the duration (a PM/scrum master across the run), not as a share of engineering
run 70	P-5	immersion		10.0	Domain immersion, architecture and technology selection (~1.5 cal. months, blended team)
run 70	P-5	render workers	worker framework	13.0	Render worker framework + 8–10 formats (harness-weighted per P-4's reading of A4; each format is integration and fidelity stabilization, not a new renderer)
run 70	P-5	OCR		4.0	OCR workers on a third-party library (pipeline, TIFF→PDF, quality tuning)
run 70	P-5	delivery-control core		24.0	Cluster core: watchdogs + tokens, unordered status store, per-fax delivery control, failure resume — the hand-built substitute for a broker (A5)
run 70	P-5	cluster management		6.0	Cluster management tool (queue depth, node/job control over 16–20 nodes, deployment)
run 70	P-5	NOC		10.0	NOC: collectors and console for 10–20 PoPs, cluster, queues
run 70	P-5	portal		12.0	User portal (config TIFF vs PDF, history, search, retrieval, enterprise-grade access control)
run 70	P-5	Tx parser		5.0	Inbound-email parser, Tx path (MIME, attachments, number extraction, sender auth, error mail)
run 70	P-5	Rx path		5.0	Rx path: intake of TIFF from the PoPs, per-page assembly, the per-user TIFF-vs-PDF branch, outbound mail with retries and deliverability — raised from 3, scope widened beyond the mail send (P-1, P-2, P-6, P-8); PDF conversion itself stays in the OCR line, not counted twice (P-3)
run 70	P-5	CDR		3.0	CDR / billing data capture (billing itself excluded)
run 70	P-5	data layer / API		6.0	Lustre + DB schema + the inter-component API the parts talk through
run 70	P-5	old-system / reused integration		12.0	Integration with the old system, coexistence during transition, real-stream comparison tests, rollout
run 70	P-5	QA, separate line		8.0	QA beyond the above: test infrastructure, load to ~300/s burst, soak
run 70	P-5	PM		12.0	PM / coordination across the run (held at 12; see the tension noted above — my own duration rule would give ~16 for a full-time PM)
run 70	P-5	novelty tax		5.0	Uplift: domain-novelty rework tax spread through integration and stabilization (A3 — the team pays for the unfamiliar domain a second time, after the immersion phase) — new (P-9's mechanism, via P-3 and P-8)
run 70	P-6	immersion		10.0	Domain immersion, architecture, technology selection (DHT etc.)
run 70	P-6	delivery-control core		24.0	Cluster + delivery control: watchdogs, tokens, unordered status store, resume, per-fax accounting
run 70	P-6	cluster management		5.0	Cluster management / node lifecycle, queue-depth control, deployment to 16–20 nodes
run 70	P-6	render workers	worker framework	13.0	Rendering workers: harness + 8–10 formats via printer driver
run 70	P-6	OCR		5.0	OCR workers on the third-party library, PDF assembly, throughput tuning
run 70	P-6	Rx path		3.0	Rx outbound path: page-wise TIFF or converted PDF to email, retries, deliverability
run 70	P-6	Tx parser		5.0	Inbound-email parser (Tx): MIME, attachments, number extraction, sender auth, bounces
run 70	P-6	portal		10.0	User portal: accounts, per-user TIFF/PDF config, archive and history, admin
run 70	P-6	NOC		8.0	NOC: collectors over 10–20 PoPs, cluster and queue state, alerting, console
run 70	P-6	data layer / API		6.0	DB schema + inter-component API fabric + Lustre integration
run 70	P-6	CDR		3.0	CDR / billing-data capture (engine excluded)
run 70	P-6	old-system / reused integration		5.0	Integration with the reused pieces (PoP protocol, routing hand-off) and coexistence with v1
run 70	P-6	real-stream / load testing	old-system / reused integration	9.0	Integration testing on the real stream, diff against the old system
run 70	P-6	burst hardening		5.0	Load and burst rig: instrumented proof of 30/s sustained and ~300/s across 16–20 nodes, soak
run 70	P-6	rollout / cutover		5.0	Production rollout, traffic migration, cutover, stabilisation to the A2 bar
run 70	P-6	QA, separate line		5.0	QA beyond the embedded share and beyond the two test lines: regression suites, defect cycles across the run
run 70	P-6	PM		13.0	PM, coordination, release management (one near-full-time PM across ~21 calendar months)
run 70	P-6	discount / rounding		0.0	v1-as-oracle discount on specification-sensitive lines
run 70	P-7	immersion		10.0	Domain immersion, architecture and technology selection (DHT etc.) — oracle discount applied here
run 70	P-7	delivery-control core		28.0	Cluster + delivery control core: watchdogs, tokens, unordered status store, resume, per-fax accounting
run 70	P-7	cluster management		5.0	Cluster management: queue depth, node health, deployment across 16–20 nodes
run 70	P-7	render workers	worker framework	13.0	Rendering workers: crash-isolation harness plus 8–10 format integrations (driver reused per A4)
run 70	P-7	OCR		5.0	OCR workers: third-party library integration, PDF assembly, throughput tuning
run 70	P-7	Rx path		4.0	Rx delivery path: PoP intake, per-page TIFF vs config-driven PDF, outbound mail, retries, deliverability
run 70	P-7	NOC		8.0	NOC: remote PoP state, cluster, queues, alerting, console
run 70	P-7	portal		10.0	User portal: accounts, per-user TIFF/PDF config, archive and history, admin
run 70	P-7	Tx parser		5.0	Inbound email parser, Tx entry: MIME, attachments, number extraction, malformed mail, bounces
run 70	P-7	CDR		3.0	CDR / billing-data capture (billing itself excluded)
run 70	P-7	data layer / API		6.0	Storage and DB integration, inter-component API and schema
run 70	P-7	real-stream / load testing		15.0	Integration and load testing on the real stream: diff against v1, load rig to 30/s nominal and ~300/s burst
run 70	P-7	rollout / cutover		6.0	Production rollout, migration, cutover, stabilization to the A2 bar
run 70	P-7	PM		12.0	PM, coordination, release management across the run
run 70	P-7	novelty tax		5.0	Uplift — domain-novelty rework tax (A3): the team pays for the unfamiliar domain a second time, as defect and rework drag through integration and stabilization, beyond the immersion phase
run 70	P-8	immersion		10.0	Domain immersion + architecture/tech selection
run 70	P-8	render workers		13.0	Render worker framework + 8–10 format integrations
run 70	P-8	OCR		5.0	OCR workers (library integration, TIFF→PDF, throughput)
run 70	P-8	delivery-control core		24.0	Cluster + delivery control core (watchdogs, tokens, unordered store, resume, idempotency)
run 70	P-8	cluster management		5.0	Cluster management tool (queue depth, node lifecycle)
run 70	P-8	Rx path		3.0	Rx delivery path (page-wise TIFF vs PDF, outbound mail, retries, deliverability)
run 70	P-8	NOC		9.0	NOC (agents on 10–20 PoPs, cluster and queue state, alerting, UI)
run 70	P-8	portal		11.0	User portal (accounts, per-user delivery config, archive, admin)
run 70	P-8	Tx parser		6.0	Inbound email parser, Tx entry (MIME, attachments, number extraction, sender auth, bounces)
run 70	P-8	data layer / API		7.0	Storage (Lustre) + DB schema + inter-component API
run 70	P-8	CDR		3.0	CDR / billing-data capture
run 70	P-8	old-system / reused integration		5.0	Integration with existing PoP software and reused routing
run 70	P-8	real-stream / load testing		12.0	Integration + load testing on the real stream, diff against v1, burst rig to ~300/s
run 70	P-8	old-system / reused integration	rollout / cutover	6.0	Coexistence, migration, cutover, stabilization to the A2 bar
run 70	P-8	novelty tax		8.0	Uplift: domain-novelty rework tax through integration and stabilization (A3)
run 70	P-8	discount / rounding		-6.0	Discount: v1 as live requirements oracle — ~15% off the specification-sensitive lines only (immersion, portal, NOC, parser, CDR ≈ 39 pm); not applied to build lines, since A4 carries no code over
run 70	P-8	PM		12.0	PM, coordination and release management not inside the lines (~10%)
run 70	P-9	immersion		10.0	Domain immersion, architecture & technology selection (DHT etc.)
run 70	P-9	render workers		13.0	Render workers: framework + 8–10 format integrations, crash isolation
run 70	P-9	OCR		5.0	OCR workers + PDF assembly (third-party library integration, tuning)
run 70	P-9	Rx path		4.0	Rx delivery path: PoP intake, per-page TIFF vs config-driven PDF branch, outbound email with retries and deliverability — new (P-4, P-5, P-6, P-8)
